Save No	Element	redox	Solid Phase	Specific Surface Area(m2/g)	CEC(meq/100g)	note	Solid Phase Group	Solution/Solid(mL/g)	Solution(mL)	Solid(g)	temp(degC)	Water Type	Ca(ppm)	Na(ppm)	K(ppm)	Mg(ppm)	Cl(ppm)	HCO3(ppm)	SO4(ppm)	F(ppm)	SiO2(ppm)	Fe(ppm)	NO3(ppm)	ClO4(ppm)	Ionic strength(mol/L)	DOC(ppm)	note	Ionic strength(mol/L)	pH init	pH end	C init(mol/L)	Contact time(day)	Separation	Eh init(mV)	Eh end(mV)	atm/redox condition	Kd(m3/kg)	error	Data type	Reference	Author	Year	Title	Journal	Publisher	Vol	No	Page	Note	replicates, n	additional/information	Kd Graph Data	Temp Graph Data	pH Graph Data	Time Graph Data	Eh Graph Data	Cinit Graph Data	Solution/Solid Graph Data	
51230	Sr	II	aquitard	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Hopper and Simsboro materials.	Soil	30	30	1	n.r.	synthetic groundwater#2	7.0	1260.0				1260.0	7.0						0.0382		Wilcox aquifer. Analysis of drigggroundwater after 0.45micron filtration	0.0382	n.r.	n.r.	5.80E-08	20	c(n.r.)	n.r.	n.r.	aerobic condition	4.18E-01	2.50E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.418	0.0	0.0	20.0	0.0	0.000000058	30.0	
51231	Sr	II	aquitard	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Hopper and Simsboro materials.	Soil	30	30	1	n.r.	synthetic groundwater#2	7.0	1260.0				1260.0	7.0						0.0382		Wilcox aquifer. Analysis of drigggroundwater after 0.45micron filtration	0.0382	n.r.	n.r.	5.80E-08	20	c(n.r.)	n.r.	n.r.	aerobic condition	4.19E-01	2.60E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.419	0.0	0.0	20.0	0.0	0.000000058	30.0	
51232	Sr	II	aquitard	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Hopper and Simsboro materials.	Soil	30	30	1	n.r.	synthetic groundwater#2	7.0	1260.0				1260.0	7.0						0.0382		Wilcox aquifer. Analysis of drigggroundwater after 0.45micron filtration	0.0382	n.r.	n.r.	6.20E-08	20	c(n.r.)	n.r.	n.r.	anoxic condition	4.27E-01	2.10E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.427	0.0	0.0	20.0	0.0	0.000000062	30.0	
51233	Sr	II	aquitard	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Hopper and Simsboro materials.	Soil	30	30	1	n.r.	synthetic groundwater#2	7.0	1260.0				1260.0	7.0						0.0382		Wilcox aquifer. Analysis of drigggroundwater after 0.45micron filtration	0.0382	n.r.	n.r.	6.20E-08	20	c(n.r.)	n.r.	n.r.	anoxic condition	4.32E-01	2.10E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.432	0.0	0.0	20.0	0.0	0.000000062	30.0	
51234	Sr	II	aquitard	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Hopper and Simsboro materials.	Soil	30	30	1	n.r.	synthetic groundwater#2	7.0	1260.0				1260.0	7.0						0.0382		Wilcox aquifer. Analysis of drigggroundwater after 0.45micron filtration	0.0382	n.r.	n.r.	6.20E-08	20	c(n.r.)	n.r.	n.r.	anoxic condition	4.41E-01	1.90E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.441	0.0	0.0	20.0	0.0	0.000000062	30.0	
51235	Sr	II	aquitard	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Hopper and Simsboro materials.	Soil	30	30	1	n.r.	synthetic groundwater#3	7.0	10000.0			10000.0		7.0						0.359		High density brine	0.359	n.r.	n.r.	6.20E-08	20	c(n.r.)	n.r.	n.r.	aerobic condition	9.18E-03	8.10E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.00918	0.0	0.0	20.0	0.0	0.000000062	30.0	
51236	Sr	II	aquitard	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Hopper and Simsboro materials.	Soil	30	30	1	n.r.	synthetic groundwater#3	7.0	10000.0			10000.0		7.0						0.359		High density brine	0.359	n.r.	n.r.	6.40E-08	20	c(n.r.)	n.r.	n.r.	anoxic condition	9.24E-03	7.70E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.00924	0.0	0.0	20.0	0.0	0.000000064	30.0	
51237	Sr	II	aquitard	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Hopper and Simsboro materials.	Soil	30	30	1	n.r.	synthetic groundwater#3	7.0	10000.0			10000.0		7.0						0.359		High density brine	0.359	n.r.	n.r.	6.40E-08	20	c(n.r.)	n.r.	n.r.	anoxic condition	9.98E-03	6.60E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.00998	0.0	0.0	20.0	0.0	0.000000064	30.0	
51238	Sr	II	argillite#10	n.r.	n.r.	CN-3, Fraction Size <75microm	Clay minerals	20	20	1	32	synthetic groundwater#1	15.1	85.1	7.9	9.0					3.3				0.00698		Synthetic groundwater	0.00698	8.43	8.68	7.90E-08	20.63	n.r.	n.r.	n.r.	anoxic condition	3.19E-02	3.20E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.0319	32.0	8.68	20.63	0.0	0.000000079	20.0	
51239	Sr	II	argillite#11	n.r.	n.r.	CN-3, Fraction Size 75-500microm	Clay minerals	20	20	1	32	synthetic groundwater#1	15.1	85.1	7.9	9.0					3.3				0.00698		Synthetic groundwater	0.00698	8.43	8.55	7.90E-08	20.63	n.r.	n.r.	n.r.	anoxic condition	3.21E-02	3.10E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.0321	32.0	8.55	20.63	0.0	0.000000079	20.0	
51400	Sr	II	granite#1	n.r.	n.r.	CS-7, Fraction Size <75microm	Granitic rocks	20	20	1	32	synthetic groundwater#1	15.1	85.1	7.9	9.0					3.3				0.00698		Synthetic groundwater	0.00698	8.43	8.52	8.30E-08	20.63	n.r.	n.r.	n.r.	anoxic condition	1.94E-02	3.80E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.0194	32.0	8.52	20.63	0.0	0.000000083	20.0	
51401	Sr	II	granite#2	n.r.	n.r.	CS-7, Fraction Size 75-500microm	Granitic rocks	20	20	1	32	synthetic groundwater#1	15.1	85.1	7.9	9.0					3.3				0.00698		Synthetic groundwater	0.00698	8.43	8.65	8.30E-08	20.63	n.r.	n.r.	n.r.	anoxic condition	6.98E-02	2.50E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.0698	32.0	8.65	20.63	0.0	0.000000083	20.0	
51402	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#2	7.0	1260.0				1260.0	7.0						0.0382		Wilcox aquifer. Analysis of drigggroundwater after 0.45micron filtration	0.0382	n.r.	n.r.	5.80E-08	20	c(n.r.)	n.r.	n.r.	aerobic condition	4.51E-01	2.00E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.451	0.0	0.0	20.0	0.0	0.000000058	30.0	
51403	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#2	7.0	1260.0				1260.0	7.0						0.0382		Wilcox aquifer. Analysis of drigggroundwater after 0.45micron filtration	0.0382	n.r.	n.r.	5.80E-08	20	c(n.r.)	n.r.	n.r.	aerobic condition	4.65E-01	2.00E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.465	0.0	0.0	20.0	0.0	0.000000058	30.0	
51404	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#2	7.0	1260.0				1260.0	7.0						0.0382		Wilcox aquifer. Analysis of drigggroundwater after 0.45micron filtration	0.0382	n.r.	n.r.	5.80E-08	20	c(n.r.)	n.r.	n.r.	aerobic condition	4.72E-01	1.90E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.472	0.0	0.0	20.0	0.0	0.000000058	30.0	
51405	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#2	7.0	1260.0				1260.0	7.0						0.0382		Wilcox aquifer. Analysis of drigggroundwater after 0.45micron filtration	0.0382	n.r.	n.r.	6.20E-08	20	c(n.r.)	n.r.	n.r.	anoxic condition	6.08E-01	2.30E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.608	0.0	0.0	20.0	0.0	0.000000062	30.0	
51406	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#2	7.0	1260.0				1260.0	7.0						0.0382		Wilcox aquifer. Analysis of drigggroundwater after 0.45micron filtration	0.0382	n.r.	n.r.	6.20E-08	20	c(n.r.)	n.r.	n.r.	anoxic condition	6.35E-01	2.40E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.635	0.0	0.0	20.0	0.0	0.000000062	30.0	
51407	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#2	7.0	1260.0				1260.0	7.0						0.0382		Wilcox aquifer. Analysis of drigggroundwater after 0.45micron filtration	0.0382	n.r.	n.r.	6.20E-08	20	c(n.r.)	n.r.	n.r.	anoxic condition	6.57E-01	2.20E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.657	0.0	0.0	20.0	0.0	0.000000062	30.0	
51408	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#3	7.0	10000.0			10000.0		7.0						0.359		High density brine	0.359	n.r.	n.r.	6.20E-08	20	c(n.r.)	n.r.	n.r.	aerobic condition	7.13E-03	8.80E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.00713	0.0	0.0	20.0	0.0	0.000000062	30.0	
51409	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#3	7.0	10000.0			10000.0		7.0						0.359		High density brine	0.359	n.r.	n.r.	6.40E-08	20	c(n.r.)	n.r.	n.r.	anoxic condition	7.38E-03	8.30E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.00738	0.0	0.0	20.0	0.0	0.000000064	30.0	
51410	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#3	7.0	10000.0			10000.0		7.0						0.359		High density brine	0.359	n.r.	n.r.	6.40E-08	20	c(n.r.)	n.r.	n.r.	anoxic condition	7.62E-03	8.20E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.00762	0.0	0.0	20.0	0.0	0.000000064	30.0	
51411	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#3	7.0	10000.0			10000.0		7.0						0.359		High density brine	0.359	n.r.	n.r.	6.20E-08	20	c(n.r.)	n.r.	n.r.	aerobic condition	7.84E-03	8.00E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.00784	0.0	0.0	20.0	0.0	0.000000062	30.0	
51412	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#3	7.0	10000.0			10000.0		7.0						0.359		High density brine	0.359	n.r.	n.r.	6.40E-08	20	c(n.r.)	n.r.	n.r.	anoxic condition	7.91E-03	7.70E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.00791	0.0	0.0	20.0	0.0	0.000000064	30.0	
51413	Sr	II	aquifer	n.r.	n.r.	This sampe is mixtures of materials from the pertinent strata. This sample is an equal mixture of the Calvert Bluff and Carrizo strata.	Soil	30	30	1	n.r.	synthetic groundwater#3	7.0	10000.0			10000.0		7.0						0.359		High density brine	0.359	n.r.	n.r.	6.20E-08	20	c(n.r.)	n.r.	n.r.	aerobic condition	8.17E-03	7.90E-03	Rd [mL/g]	Erdal(1980)	Erdal, B. R.	1980	Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media				LA-8088-PR	all page		n.r.	-	0.00817	0.0	0.0	20.0	0.0	0.000000062	30.0	
51422	Sr	II	bentonite	n.r.	n.r.	-	Bentonite (smectite)	200	20	0.1	n.r.	groundwater#2	802.0	3220.0	78.2	97.2	6380.0	122.0	384.0						0.218		synthetic groundwater(NASK)	0.218	7.7	n.r.	1.00E-04	n.r.	n.r.	n.r.	n.r.	n.r.	1.10E-02	n.r.	Kd [cm3/g]	Eriksen and Jansson(1996)	Eriksen, T. E. and Jansson, M.	1996	Diffusion of I-, Cs+ and Sr2+ in Compacted Bentonite -Anion Exclusion and Surface Diffusion	SKB Technical Report		96-16		all page		n.r.	-	0.011	0.0	7.7	0.0	0.0	0.00010	200.0	
51423	Sr	II	bentonite	n.r.	n.r.	-	Bentonite (smectite)	200	20	0.1	n.r.	groundwater#2	802.0	3220.0	78.2	97.2	6380.0	122.0	384.0						0.218		synthetic groundwater(NASK)	0.218	7.7	n.r.	1.00E-06	n.r.	n.r.	n.r.	n.r.	n.r.	8.50E-03	n.r.	Kd [cm3/g]	Eriksen and Jansson(1996)	Eriksen, T. E. and Jansson, M.	1996	Diffusion of I-, Cs+ and Sr2+ in Compacted Bentonite -Anion Exclusion and Surface Diffusion	SKB Technical Report		96-16		all page		n.r.	-	0.0085	0.0	7.7	0.0	0.0	0.0000010	200.0	
51424	Sr	II	granite#2	n.r.	441.95	Crushed granite, Size fraction = 125-250 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0	f(n.r.)	260	n.r.	aerobic condition	4.39E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00439	0.0	8.1	0.000716423	260.0	0.000000000025	30.0	
51425	Sr	II	granite#2	n.r.	441.95	Crushed granite, Size fraction = 125-250 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0	f(n.r.)	260	n.r.	aerobic condition	4.53E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00453	0.0	8.1	0.003254354	260.0	0.000000000025	30.0	
51426	Sr	II	granite#2	n.r.	441.95	Crushed granite, Size fraction = 125-250 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0.04	f(n.r.)	260	n.r.	aerobic condition	5.58E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00558	0.0	8.1	0.037825335	260.0	0.000000000025	30.0	
51427	Sr	II	granite#2	n.r.	441.95	Crushed granite, Size fraction = 125-250 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0.2	f(n.r.)	260	n.r.	aerobic condition	8.12E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00812	0.0	8.1	0.20309709	260.0	0.000000000025	30.0	
51428	Sr	II	granite#2	n.r.	441.95	Crushed granite, Size fraction = 125-250 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0.2	f(n.r.)	260	n.r.	aerobic condition	8.40E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.0084	0.0	8.1	0.20278555	260.0	0.000000000025	30.0	
51429	Sr	II	granite#2	n.r.	441.95	Crushed granite, Size fraction = 125-250 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0.93	f(n.r.)	260	n.r.	aerobic condition	8.42E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00842	0.0	8.1	0.93461317	260.0	0.000000000025	30.0	
51430	Sr	II	granite#2	n.r.	441.95	Crushed granite, Size fraction = 125-250 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	4.81	f(n.r.)	260	n.r.	aerobic condition	8.56E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00856	0.0	8.1	4.810846	260.0	0.000000000025	30.0	
51431	Sr	II	granite#2	n.r.	441.95	Crushed granite, Size fraction = 125-250 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	4.82	f(n.r.)	260	n.r.	aerobic condition	8.03E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00803	0.0	8.1	4.8248963	260.0	0.000000000025	30.0	
51432	Sr	II	granite#7	n.r.	186.95	Crushed granite, Size fraction = 1000-2000 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0	f(n.r.)	260	n.r.	aerobic condition	1.08E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00108	0.0	8.1	0.000709747	260.0	0.000000000025	30.0	
51433	Sr	II	granite#7	n.r.	186.95	Crushed granite, Size fraction = 1000-2000 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0	f(n.r.)	260	n.r.	aerobic condition	1.68E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00168	0.0	8.1	0.003544003	260.0	0.000000000025	30.0	
51434	Sr	II	granite#7	n.r.	186.95	Crushed granite, Size fraction = 1000-2000 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0	f(n.r.)	260	n.r.	aerobic condition	1.35E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00135	0.0	8.1	0.003453256	260.0	0.000000000025	30.0	
51435	Sr	II	granite#7	n.r.	186.95	Crushed granite, Size fraction = 1000-2000 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0.04	f(n.r.)	260	n.r.	aerobic condition	3.21E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00321	0.0	8.1	0.039407674	260.0	0.000000000025	30.0	
51436	Sr	II	granite#7	n.r.	186.95	Crushed granite, Size fraction = 1000-2000 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0.04	f(n.r.)	260	n.r.	aerobic condition	2.71E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00271	0.0	8.1	0.03843398	260.0	0.000000000025	30.0	
51437	Sr	II	granite#7	n.r.	186.95	Crushed granite, Size fraction = 1000-2000 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0.22	f(n.r.)	260	n.r.	aerobic condition	4.81E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00481	0.0	8.1	0.21869229	260.0	0.000000000025	30.0	
51438	Sr	II	granite#7	n.r.	186.95	Crushed granite, Size fraction = 1000-2000 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0.22	f(n.r.)	260	n.r.	aerobic condition	4.48E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00448	0.0	8.1	0.21607313	260.0	0.000000000025	30.0	
51439	Sr	II	granite#7	n.r.	186.95	Crushed granite, Size fraction = 1000-2000 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0.97	f(n.r.)	260	n.r.	aerobic condition	4.94E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00494	0.0	8.1	0.96619236	260.0	0.000000000025	30.0	
51440	Sr	II	granite#7	n.r.	186.95	Crushed granite, Size fraction = 1000-2000 micron	Granitic rocks	30	3	0.1	n.r.	groundwater	18.0	65.0	3.9	4.3	70.0	123.0	9.6		12.0				0.0035		-	0.0035	8-8.2	n.r.	2.50E-11	0.98	f(n.r.)	260	n.r.	aerobic condition	4.61E-03	n.r.	Rd [cm3/g] from figure	Eriksen and Locklund(1987)	Eriksen, T. E. and Locklund, B.	1987	Radionuclide Sorption on Granitic Drill Core Material	SKB Technical Report			87-22			n.r.	-	0.00461	0.0	8.1	0.9815132	260.0	0.000000000025	30.0	
