ID,Combo,LLNL Reference,DOI Link,Year,Journal,Vol,Page,Authors,Title
,Sorption-Desorption Studies on Argillite1979,eabow79b,not found,1979,NA,NA,Jan-72,"Erdal, B. R. , Aguilar, R. D. , Bayhurst, B. P. , Oliver, P. Q. and Wolfsberg, K.",Sorption-Desorption Studies on Argillite
,Sorption and Migration of Radionuclides in Geologic Media1979,edhlw79d,http://dx.doi.org/10.1007/978-1-4615-9107-8_53,1979,Scientific  Basis for Nuclear Waste Management,1,423-426,"Erdal, B. R. , Daniels, W. R. , Hoffman, D. C. , Lawrence, F. O. and Wolfsberg, K.",Sorption and Migration of Radionuclides in Geologic Media
,Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media1980,e80,not found,1980,NA,NA,all page,"Erdal, B. R.",Ladratory Studies of Radionuclide Distributions Between Selected Groundwaters and Geologic Media
,"Diffusion of I-, Cs+ and Sr2+ in Compacted Bentonite_x000B_-Anion Exclusion and Surface Diffusion1996",ej96,not found,1996,SKB Technical Report,96-16,all page,"Eriksen, T. E. and Jansson, M.","Diffusion of I-, Cs+ and Sr2+ in Compacted Bentonite_x000B_-Anion Exclusion and Surface Diffusion"
,Radionuclide Sorption on Granitic Drill Core Material1987,el87,not found,1987,SKB Technical Report,NA,NA,"Eriksen, T. E. and Locklund, B.",Radionuclide Sorption on Granitic Drill Core Material
,Radionuclide Sorption on Crushed and Intact Granitic Rock Volume and Surface Effects1989,el89,not found,1989,SKB Technical Report,NA,all page,"Eriksen, T. E. and Locklund, B.",Radionuclide Sorption on Crushed and Intact Granitic Rock Volume and Surface Effects
,Sorption of Cesium and Strontium on Montmorillonite and Kaolinite1988,eahg88,http://dx.doi.org/10.1524/ract.1988.4445.1.147,1988,Radiochimica Acta,44/45,147-151,"Erten, H. N. , Aksoyoglu, S. , Hatipoglu, S. and Gokturk, H.",Sorption of Cesium and Strontium on Montmorillonite and Kaolinite
,Mechanisms of sorption in the near field.1990,emc90,not found,1990,AERE-R-13800; AEA-DIR-0013.,NA,NA,"Ewart, F. T. and McCrohon, R.",Mechanisms of sorption in the near field.
,Chemical effects in the near-field1987,et87,not found,1987,Waste Management  87,3,71-78,"Ewart, F. T. and Tasker, P. W.",Chemical effects in the near-field
,Near field sorption data for caesium and strontium.1985,etw85,not found,1985,UAKEA Report ,NA,NA,"Ewart, F. T. , Terry, S. and Williams, S. J.",Near field sorption data for caesium and strontium.
,Removal of Cs-134 and Co-60 from aqueous waste solutions using clay minerals2006,eeafga06,not found,2006,ISOTOPE & RAD. RES.,38,405-416,"Ezz, El-din, M. R. , Abdal Fattaii, A. A. , Ghonim, A. K. and Atta, E. R.",Removal of Cs-134 and Co-60 from aqueous waste solutions using clay minerals
,"Retardation and mobility of lead, antimony and arsenic in soil on the example of shooting ranges, Bodenoekologie und Bodengenese Heft 111993",f93,not found,1993,NA,NA,NA,"Fahrenhorst, C.","Retardation and mobility of lead, antimony and arsenic in soil on the example of shooting ranges, Bodenoekologie und Bodengenese Heft 11"
,The affinity of metal ions for clay surfaces1980,fhp80,http://dx.doi.org/10.1016/0009-2541(80)90035-2,1980,Chemical Geology,28,55-68,"Farrah, H., Hatton, D. and Pickering, W.F.",The affinity of metal ions for clay surfaces
,Sorption-Desorption of Long-Lived Radionuclide Species on Geologic Media1979,fb79,not found,1979,ANNUAL REPORT October 1,NA,81-133,"Francis, C. W. and Bondietti, E. A.",Sorption-Desorption of Long-Lived Radionuclide Species on Geologic Media
,Measurement of Radionuclides Distribution Coefficients for Leached Mortar1997,fstsam97,not found,1997,Nihon-Genshiryoku-Gakkai Aki-no-Taikai,NA,644,"Fujiwara, A. , Senoo, M. , Tajima, T. , Saito, Y. , Ashikawa, N. and Matsuoka, N.",Measurement of Radionuclides Distribution Coefficients for Leached Mortar
,Radioactive Iodine Waste?(7)Cement Fixation Technique of Radioiodine by Cement1999,fsktmti99,not found,1999,Genshiryoku-Backend-Kenkyu,6,75-78,"Fujiwara, K. , Saito, N. , Kaneko, M. , Toyohara, N. , Mitsuka, T. , Toyota, F. and Ikenaga, N.",Radioactive Iodine Waste?(7)Cement Fixation Technique of Radioiodine by Cement
,Adsorption mechanisms of radioactive cesium and selenium in rocks1995,ff95,not found,1995,NA,NA,37-40,"Fujikawa, Y. and Fukui, M.",Adsorption mechanisms of radioactive cesium and selenium in rocks
,Radionuclide Sorption to Rocks and Minerals:_x000B_Effects of pH and Inorganic Anions._x000B_Part 2. Sorption and Speciation of Selenium1997,ff97,not found,1997,Radiochimica Acta,76,163-172,"Fujikawa, Y. and Fukui, M.",Radionuclide Sorption to Rocks and Minerals:_x000B_Effects of pH and Inorganic Anions._x000B_Part 2. Sorption and Speciation of Selenium
,Studies on the sorption model of Cs and Sr ion through a saturated sandy layer1976,fk76,http://dx.doi.org/10.2208/jscej1969.1976.254_37,1976,Doboku-Gakkai-Ronbun-Hokokushu,NA,37-48,"Fukui, M. and Katsurayama, K.",Studies on the sorption model of Cs and Sr ion through a saturated sandy layer
,Partitioning of radionuclides for coastal sediments and adsorptive behavior1989,ffikhk89,not found,1989,Nihon-Genshiryoku-Gakkai-shi,31,1165-1175,"Fukui, M. , Fujikawa, Y. , Ioka, T. , Kimura, Y. , Honda, Y. and Katsurayama, K.",Partitioning of radionuclides for coastal sediments and adsorptive behavior
,Do Kd model appropriate to migration estimation of radioactive iodine in soil1995,f95,not found,1995,Behavior parameter investigation specialty society report,NA,37-40,"Fukui, M.",Do Kd model appropriate to migration estimation of radioactive iodine in soil
,Kd comparision of solutes for various measuring methods2000,f00,not found,2000,KURRI ,NA,191-196,"Fukui, M.",Kd comparision of solutes for various measuring methods
,Distribution Coefficients measurement Experiment of Americium to Ca-Bentonite with Cement additives2000,fnkk00,not found,2000,JNC Technical Report,NA,all page,"Fukumoto, M. , Nishikawa, Y. , Kagawa, A. and Kawamura, K.",Distribution Coefficients measurement Experiment of Americium to Ca-Bentonite with Cement additives
,UnpublishedNA,f,not found,NA,NA,NA,NA,Furuya,Unpublished
,Preconcentration of 125Sb onto MnO2 from seawater samples for gamma-ray spectrometric analysis1992,gg92,http://dx.doi.org/10.1524/ract.1992.57.23.159,1992,Radiochimica Acta,57,159-164,"Gandon, R. and Guegueniat, P.",Preconcentration of 125Sb onto MnO2 from seawater samples for gamma-ray spectrometric analysis
,Solute transport properties of compacted Ca-bentonite used in FEBEX project.2001,ggmmsdm01,not found,2001,Journal of Contaminant Hydrology,NA,127-137,"Garc?a-Guti?rrez, M. , Missana, T. , Mingarro, M. , Samper, J. , Dai, Z. and Molinero, J.",Solute transport properties of compacted Ca-bentonite used in FEBEX project.
,Sorption on inactive repository components1990,gsw90,not found,1990,"AEA-D&R-0054,DOE/HMIP/RR/90/084",NA,NA,"Gardiner, M. P. , Smith, A. J. and Williams, S. J.",Sorption on inactive repository components
,The influence of organic waste materials on the near-field source term1988,ggsw88,http://dx.doi.org/10.1524/ract.1988.4445.2.251,1988,Radiochimica Acta,44/45,251-254,"Gaudie, S. C. , Greenfield, B. F. , Spindler, M. W. and Wilkins, J. D.",The influence of organic waste materials on the near-field source term
,"Results of the colloid and radionuclide retention experiment (CRR) at the Grimsel test site (GTS), Switzerland - impact of reaction kinetics and speciation on radionuclide migration2004",gshrmdm04,http://dx.doi.org/10.1524/ract.92.9.765.54973,2004,Radiochimica Acta,92,765-774,"Geckeis, H. , Schaefer, T. , Hauser, W. , Rabung, T. , Missana, T. , Degueldre, C. and Moeri, A.","Results of the colloid and radionuclide retention experiment (CRR) at the Grimsel test site (GTS), Switzerland - impact of reaction kinetics and speciation on radionuclide migration"
,Adsorption of Selenium on Hydrous Alumina1994,gcyp94,http://dx.doi.org/10.1002/ep.670130210,1994,Environmental Progress ,13,79-88,"Ghosh, M. M. , Cox, C. D. and Yuan-Pan, J. R.",Adsorption of Selenium on Hydrous Alumina
,Cesium Distribution Coefficients in Unconsoilidated Geological Materials1980,gcl80,not found,1980,Health Physics,39,637-649,"Gillham, R. W. , Cherry, J. A. and Lindsay, L. E.",Cesium Distribution Coefficients in Unconsoilidated Geological Materials
,Neptunim Adsorption on Synthetic Amorphous Iron Oxyhydroxide1991,gasmg91,not found,1991,Journal of Colloid and Interface Science,141,67-78,"Girvin, D. C. , Ames, L. L. , Schwab, A. P. and McGarrah, J. E.",Neptunim Adsorption on Synthetic Amorphous Iron Oxyhydroxide
,"Anion Sorption on a Calcareous, Montmorillonitic Soil ? Selenium1988",gg88,http://dx.doi.org/10.2136/sssaj1988.03615995005200040010x,1988,Soil Science Society of America Journal,52,954-957,"Goldberg, S. and Glaubig, R. A.","Anion Sorption on a Calcareous, Montmorillonitic Soil ? Selenium"
,North American studies on lead mobility in simulated nuclear waste repository environments.1995,gms95,not found,1995,Radioactive Waste Management and Environmental Restoration,19,303-320,"Goodwin, F. E. , Methew, P. M. and Serne, R. J.",North American studies on lead mobility in simulated nuclear waste repository environments.
,Contribution a la Modelisation Physico-Chimique de la Retention de Radioelements a vie Longue par des Materiaux Argileux1994,g94,not found,1994,THESE de DOCTORAT de I UNIVERSITE PARIS 6,NA,all page,"Gorgeon, L.",Contribution a la Modelisation Physico-Chimique de la Retention de Radioelements a vie Longue par des Materiaux Argileux
,"Labile Pools and Distribution Coefficients for Soil Calcium, Magnesium, and Potassium Determined with Exchange Equilibria and Radioisotopes1979",g79,http://dx.doi.org/10.1097/00010694-197907000-00003,1979,Soil Science,128,17-22,"Graham, E. R.","Labile Pools and Distribution Coefficients for Soil Calcium, Magnesium, and Potassium Determined with Exchange Equilibria and Radioisotopes"
,Lead adsorption by montmorillonite using a competitive Langmuir equation1977,ga77,http://dx.doi.org/10.2136/sssaj1977.03615995004100050013x,1977,Soil Science Society of America Journal,41,880-882,"Griffin, R.A. and Au, A.K.",Lead adsorption by montmorillonite using a competitive Langmuir equation
,Complexation of Pb(II) at the goethite (a-FeOOH)/water interface: the influence of chloride1994,gls94,http://dx.doi.org/10.1016/0016-7037(94)90225-9,1994,Geochimica et Cosmochimica Acta,58,4973-4983,"Gunnerisson, L., Lovgren, L. and Sjoerg, S.",Complexation of Pb(II) at the goethite (a-FeOOH)/water interface: the influence of chloride
,"The Effect of Organics on the Sorotion of Strontium, Caesium, Iodaine, Neptunium, Uranium and Europium by Glacial Sand1991",hhwhrfaw91,not found,1991,EUR--13519,NA,all page,"Haigh, D. , Higgo, J. J. W. , Williams, G. M. , Hooker, P. J. , Ross, C. A. M. , Falck, W. E. , Allen, M. A. and Warwick, P.","The Effect of Organics on the Sorotion of Strontium, Caesium, Iodaine, Neptunium, Uranium and Europium by Glacial Sand"
,Unsupported 210PoO2 in soil: soil adsorption and characterization of soil solution species1971,hw71,http://dx.doi.org/10.1097/00010694-197109000-00001,1971,Soil Science,112,145-155,"Hansen, W.R. and Watters, R.",Unsupported 210PoO2 in soil: soil adsorption and characterization of soil solution species
,Sorption of radionuclides onto natural clay rocks2008,hgrlf08,http://dx.doi.org/10.1524/ract.2008.1556,2008,Radiochimica Acta,96,699-707,"Hartmann, E. , Geckeis, H. , Rabung, T. , Luetzenkirchen, J. and Fanghaenel, T.",Sorption of radionuclides onto natural clay rocks
,Resorcinol-formaldehyde adsorption of cesium from Hanford waste solutions Part I. Batch equilibrium study2004,hawm04,http://dx.doi.org/10.1007/s10967-004-0479-6,2004,Journal of Radioanalytical and Nuclear Chemistry ,262,579-586,"Hassan, N. M. , Adu-Wusu K. and Marra J. C.",Resorcinol-formaldehyde adsorption of cesium from Hanford waste solutions Part I. Batch equilibrium study
,Modeling Ionic Strength Effects on Anion Adsorption at Hydrous Oxide/ Solution Interfaces1988,hpl88,http://dx.doi.org/10.1016/0021-9797(88)90039-2,1988,Journal of Colloid and Interface Science,125,717-726,"Hayes, K. F. , Papelis, C. and Leckie, J. O.",Modeling Ionic Strength Effects on Anion Adsorption at Hydrous Oxide/ Solution Interfaces
,Interpreting particle size effects on the adsorption of 137Cs and unsupported 210Pb by mineral soils and sediments1996,hw96,http://dx.doi.org/10.1016/0265-931X(96)89275-7,1996,Journal of Environmental Radioactivity,30,117-137,"He, Q. and Walling, D.E.",Interpreting particle size effects on the adsorption of 137Cs and unsupported 210Pb by mineral soils and sediments
,Migration of Radionuclides in Boom Clay1985,hmfpr85,not found,1985,Radioactive Waste Management and the Nuclear Fuel Cycle,6,313-359,"Henrion, P. N. , Monsecour, M. , Fonteyne, A. , Put, M. and Regge, P.D.",Migration of Radionuclides in Boom Clay
,Application of sorption data to the evaluation of radioelement migration in the boom clay formation.1986,hnf86,not found,1986,NA,NA,138-165,"Henrion, P. N. , Nonsecour, M. and Fonteyne, A.",Application of sorption data to the evaluation of radioelement migration in the boom clay formation.
,1984,ha84,not found,1984,NA,NA,NA,"Hietanen, R. and Alaluusua, M.",
,"Sorption of strontium, cesium, nickel, iodine and carbon in concrete1984",hka84a,not found,1984,YJT Report,NA,NA,"Hietanen, R. , Kaemaeraeinen, E.-L. and Alaluusua, M.","Sorption of strontium, cesium, nickel, iodine and carbon in concrete"
,"Sorption of cesium, strontium, iodine and carbon in concrete and sand.1984",hjm84b,not found,1984,Materials Research Society Symposium Proceedings,44,891-898,"Hietanen, R. , Jaakkola, T. and Mietinen, J. K.","Sorption of cesium, strontium, iodine and carbon in concrete and sand."
,"Sorption of cesium, strontium, iodine, nickel and carbon in mixtures of concrete, crushed rock and bitumen.1985",haj85,not found,1985,YJT Report,NA,27,"Hietanen, R. , Alaluusua, M. and Jaakkola, T.","Sorption of cesium, strontium, iodine, nickel and carbon in mixtures of concrete, crushed rock and bitumen."
,Sorption of Americium and Neptunium by Deep - Sea Sediments1983,hrc83,not found,1983,NA,4,73-102,"Higgo J. J. W. , Rees L. V. C. , Cronan D. S.",Sorption of Americium and Neptunium by Deep - Sea Sediments
,Distribution of Radionuclides through Deep-Sea Sediments1987,hrcc87,not found,1987,NA,NA,all page,"Higgo J. J. W. , Rees L. V. C. , Coles, T. G. and Cronan, D. S.",Distribution of Radionuclides through Deep-Sea Sediments
,"Na, Ca and Sr retardation on crushed crystalline rock1998",hsklh98,not found,1998,Radiochimica Acta,82,279-285,"H?eltt?, P. and Siitari-Kauppi, M. , Lindberg, A. and Hautoj?rvl, A.","Na, Ca and Sr retardation on crushed crystalline rock"
,Interactions of Pb2+ with hydrous g-Al2O31976,hs76,not found,1976,Journal of Colloid and Interface Science,55,281-288,"Hohl, H. and Stumm, W.",Interactions of Pb2+ with hydrous g-Al2O3
,"Interactions of cement pore fluids with host rock and the effects on HTO, Na and Cs diffusion1998",haerp98a,http://dx.doi.org/10.1524/ract.1998.82.special-issue.197,1998,Radiochimica Acta,82,197-203,"Holgersson, S. and Albinsson, Y. , Engkvist, I. , Rochelle, C. and Pierce, J.","Interactions of cement pore fluids with host rock and the effects on HTO, Na and Cs diffusion"
,"Effects of gluco-isosaccharinate on Cs, Ni, Pm, and Th sorption onto, and diffusion into cement1998",haabpe98b,http://dx.doi.org/10.1524/ract.1998.82.special-issue.393,1998,Radiochimica Acta,82,393-398,"Holgersson, S. , Albinsson, Y. , Allard, B. , Boren, H. , Pavasars, I. and Engkvist, I.","Effects of gluco-isosaccharinate on Cs, Ni, Pm, and Th sorption onto, and diffusion into cement"
,Radionuclide getters in cement1992,hl92,http://dx.doi.org/10.1016/0008-8846(92)90063-2,1992,Cement and Concrete Research,22,247-258,"Holland, T. R. and Lee, D. J.",Radionuclide getters in cement
,The effect of specific surface area on radionuclide sorption on crushed crystalline rock1997,hskhlh97,not found,1997,Materials Research Society Symposium Proceedings,465,789-796,"Holtta P. , Siitari-Kauppi, M. , Huihuri, P. , Lindberg, A. and Hautojarvi, A.",The effect of specific surface area on radionuclide sorption on crushed crystalline rock
,Mechanisms of Sorption of Np and Tc on Argillaceous Materials. Final report1986,hwn86,not found,1986,NA,NA,NA,"Hooker, P. J. , West, J. M. and Noy, D. J.",Mechanisms of Sorption of Np and Tc on Argillaceous Materials. Final report
,Sorption and Desorption Behavior of Cesium on Soil Components1994,hc94,http://dx.doi.org/10.1016/0969-8043(94)90107-4,1994,Applied Radiation and Isotopes,45,433-437,"Hsu, C.-N. and Chang, K.-P.",Sorption and Desorption Behavior of Cesium on Soil Components
,Sorption of several safety relevant radionuclides on granite and diorite - a potential repository host rock in the Taiwan area2002,hwctykct02,http://dx.doi.org/10.1524/ract.2002.90.9-11_2002.659,2002,Radiochimica Acta,90,659-664,"Hsu, C.-N. , Wei, Y.-Y. , Chuang, J.-T. , Tseng, C.-L. , Yang, J.-Y. , Ke, C.-H. , Cheng, H.-P. and Teng, S.-P.",Sorption of several safety relevant radionuclides on granite and diorite - a potential repository host rock in the Taiwan area
,Adsorption kinetics of Pb2+ and Cu2+ on variable charge soils and minerals: III. Adsorption kinetics of Pb2+ within 30 minutes1993,hy93,not found,1993,Pedosphere,3,349-359,"Hu, G.-S. and Yu, M.-F.",Adsorption kinetics of Pb2+ and Cu2+ on variable charge soils and minerals: III. Adsorption kinetics of Pb2+ within 30 minutes
,Sorption of Radionuclides Technetium and Iodine on Minerals1988,hzz88,http://dx.doi.org/10.1524/ract.1988.4445.1.143,1988,Radiochimica Acta,44/45,143-145,"Huie, Z. , Zeng, J. and Zhu, L.",Sorption of Radionuclides Technetium and Iodine on Minerals
,Sorption and desorption of cesium on rapakivi granite and its minerals2000,hhl00,not found,2000,POSIVA,NA,110,"Huitti, T. , Hakanen, M. and Lindberg, A.",Sorption and desorption of cesium on rapakivi granite and its minerals
,"Sorption of Cesium on Olkiluoto Mica Gneiss, Granodiorite and Granite1998",hhl98,not found,1998,NA,NA,all page,"Huitti, T. , Hakanen, M. and Lindberg, A.","Sorption of Cesium on Olkiluoto Mica Gneiss, Granodiorite and Granite"
,Equilibrium Adsorption of Thorium by Metal Oxides in Marine Electrolytes1988,hhc88,http://dx.doi.org/10.1016/0016-7037(88)90324-9,1988,Geochimica et Cosmochimica Acta,52,627-636,"Hunter K. A. , Hawke D. J. , Choo L. K.",Equilibrium Adsorption of Thorium by Metal Oxides in Marine Electrolytes
,"Migration of cesium, strontium and cobalt in water-saturated concrete.1991",iftyis91,http://dx.doi.org/10.1557/PROC-212-427,1991,Materials Research Society Symposium Proceedings,212,427-432,"Idemitsu, K. , Furuya, H. , Tsutsumi, R. , Yonezawa, S. , Inagaki, Y. and Sato, S.","Migration of cesium, strontium and cobalt in water-saturated concrete."
,Sorption Behavior of Uranium(VI) on a Biotite Mineral1994,iofi94,http://dx.doi.org/10.1557/PROC-353-981,1994,"Abstracts of 18th International Symposium on the Scientific Basis for Nuclear Waste Management, Kyoto",NA,153-154,"Idemitsu, K. , Obata, K. , Furuya, H. and Inagaki, Y.",Sorption Behavior of Uranium(VI) on a Biotite Mineral
,Measurement of distribution coefficients of radionuclides by using the solid-liquid concentration distribution ratios of background stable isotopes1996,im96,not found,1996,Denryoku-Chuo-Kenkyusho-Houkoku,NA,NA,"Igarashi, T. and Mahara, Y.",Measurement of distribution coefficients of radionuclides by using the solid-liquid concentration distribution ratios of background stable isotopes
,Evaluation of radioactive nickel distribution coefficient by analyzing background stable nickel2000,im00,http://dx.doi.org/10.1524/ract.2000.88.9-11.695,2000,Radiochimica Acta,88,695-699,"Igarashi, T. and Mahara, Y.",Evaluation of radioactive nickel distribution coefficient by analyzing background stable nickel
,Adsorption characteristics of strontium and cobalt to sand using batch and column experiments1987,ikm87,not found,1987,Denryoku-Chuo-Kenkyusho-Houkoku,NA,NA,"Igarashi, T. , Kawanishi, M. and Mahara, Y.",Adsorption characteristics of strontium and cobalt to sand using batch and column experiments
,Estimation of distribution coefficients of radioactive nuclides by analysis of background stable nuclides1988,imk88,not found,1988,Denryoku-Chuo-Kenkyusho-Houkoku,NA,NA,"Igarashi, T. , Mahara, Y. and Komada, H.",Estimation of distribution coefficients of radioactive nuclides by analysis of background stable nuclides
,"Field experiment on tracer migration through unsaturated loamy layer, (2). Migration characteristics of reactive tracers under natural rainfall condition1991",imkfis91,not found,1991,Nihon-Genshiryoku-Gakkai-shi,33,180-193,"Igarashi, T. , Mahara, Y. , Kawanishi, M. , Fujiwara, Y. , Imamura, S. and Shimo, M.","Field experiment on tracer migration through unsaturated loamy layer, (2). Migration characteristics of reactive tracers under natural rainfall condition"
,Relation between distribution coefficient of radioactive strontium and solid-liquid distribution ratio of background stable strontium1992,imoa92,not found,1992,Radioisotopes,41,350-356,"Igarashi, T. , Mahara, Y. , Okamura, M. and Ashikawa, N.",Relation between distribution coefficient of radioactive strontium and solid-liquid distribution ratio of background stable strontium
,Evaluation of Radioactive Strontium Distribution Coefficient by Analyzing Background Stable Strontium1998,imao98,http://dx.doi.org/10.1080/18811248.1998.9733844,1998,Journal of Nuclear Science and Technology,35,190-197,"Igarashi, T. , Mahara, Y. , Ashikawa, N. and Okamura, M.",Evaluation of Radioactive Strontium Distribution Coefficient by Analyzing Background Stable Strontium
,Distribution coefficient and redox atmosphere2000,inu00,not found,2000,KURRI ,NA,177-182,"Igarashi, T. , Nakazawa, T. and Ueta, S.",Distribution coefficient and redox atmosphere
,Sorption distribution coefficients of selenium on a sandy mudstone under reducing conditions of underground2009,ikyutn09,not found,2009,Genshiryoku-Backend-Kenkyu,15,57-67,"Iida, Y. , Kimura, Y. , Yamaguchi, T. , Ueta, M. , Tanaka, T. and Nakayama, S.",Sorption distribution coefficients of selenium on a sandy mudstone under reducing conditions of underground
,Sorption behavior of Cs onto bentonite colloid2005,itm05,not found,2005,Clays in Natural & Engineered Barriers for Radioactive Waste Confinement,NA,607-608,"Ijima, K. , Tomura, T. and Masuda, T.",Sorption behavior of Cs onto bentonite colloid
,Model Development of Chemical Evolution in Repository Vol.II Acquisition of Nuclide Migration Data in Near-Field1998,ia98,not found,1998,PNC Technical Report,NA,all page,"Ikeda, T. and Amaya, T.",Model Development of Chemical Evolution in Repository Vol.II Acquisition of Nuclide Migration Data in Near-Field
,The Sorption of Sn(IV) in Bentonite and Rocks1995,iac95,not found,1995,NA,NA,NA,"Ikeda, T. , Ayama, T. and Chiba, T.",The Sorption of Sn(IV) in Bentonite and Rocks
,A Comparative Study of the Adsorption of Transition Metals on Kaolinite1999,ijw99,http://dx.doi.org/10.1006/jcis.1999.6377,1999,Journal of Colloid and Interface Science,217,403-410,"Ikhsan, J. , Johnson, B. B. and Wells, J. D.",A Comparative Study of the Adsorption of Transition Metals on Kaolinite
,On the Selection of a Ground Disposal Site for Radioactive Waste: An Approach to Its Safety Evaluation1974,im74,http://dx.doi.org/10.1097/00004032-197401000-00006,1974,Health Physics,26,53-63,"Inoue, Y. and Morisawa, S.",On the Selection of a Ground Disposal Site for Radioactive Waste: An Approach to Its Safety Evaluation
,Distribution Coefficient Kd of Radionuclide between Sample Soil and Water1975,im75,not found,1975,Journal of the Japan Society of Atomic Energy,18,524-534,"Inoue, Y. and Morisawa, S.",Distribution Coefficient Kd of Radionuclide between Sample Soil and Water
,"Migration of radionuclides in a model saturated zone, (1). Experiments and discussion1976",im76a,not found,1976,Nihon-Genshiryoku-Gakkai-shi,18,42-50,"Inoue, Y. and Morisawa, S.","Migration of radionuclides in a model saturated zone, (1). Experiments and discussion"
,Distribution coefficient ksub(d) of radionuclide between sample soil and water1976,im76b,not found,1976,Nihon-Genshiryoku-Gakkai-shi,18,524-534,"Inoue, Y. and Morisawa, S.",Distribution coefficient ksub(d) of radionuclide between sample soil and water
,"Radionuclide migration in aerated zones, (1). Migration characteristics of nuclides contained in percolating water1975",imm75,not found,1975,Nihon-Genshiryoku-Gakkai-shi,17,376-384,"Inoue, Y. , Morisawa, S. and Mahara, Y.","Radionuclide migration in aerated zones, (1). Migration characteristics of nuclides contained in percolating water"
,Migration of non-ionic yttrium-90 through sand column1976,imm76,not found,1976,Nihon-Genshiryoku-Gakkai-shi,18,445-451,"Inoue, Y. , Morisawa, S. and Miyatake, N.",Migration of non-ionic yttrium-90 through sand column
,Prediction of Radionuclide Migration in Ground Water at the Japan Atomic Energy Research Institute1967,i67,not found,1967,"Disposal of Radioactive Wastes into the Ground, IAEA, Vienna, proc.symp.",NA,NA,"Inoue, Y.",Prediction of Radionuclide Migration in Ground Water at the Japan Atomic Energy Research Institute
,Measurement of distribution coefficients for uranium series radionuclides under shallow land environment condition (I)2001,iigstos01,not found,2001,Journal of Nuclear Fuel cycle and Environment,8,55-63,"Ishii, T. , Inagawa, S. , Gunji, Y. , Skamoto, Y. , Takabe, S. , Ogawa, H. and Sasaki, T.",Measurement of distribution coefficients for uranium series radionuclides under shallow land environment condition (I)
,Effects of clay minerals on radiocesium sorption behavior onto paddy field soils2007,iut07,not found,2007,Radioisotopes,NA,519-528,"Ishikawa, N. , Uchida, S. and Tanoue, K.",Effects of clay minerals on radiocesium sorption behavior onto paddy field soils
,"Sorption Behavior of Carrier - Free Technetium-95m on Minerals, Rocks and Backfill Materials under both Oxidizing and Reducing Conditions1988",ik88,http://dx.doi.org/10.1080/18811248.1988.9733626,1988,Journal of Nuclear Science and Technology,25,534-539,"Ito, K. and Kanno, T.","Sorption Behavior of Carrier - Free Technetium-95m on Minerals, Rocks and Backfill Materials under both Oxidizing and Reducing Conditions"
,Adsorption on active carbon of Tc from acid solution1990,i90,not found,1990,Behavior of technetium -its relevant subject specialty study report,NA,60-65,"Ito, K.",Adsorption on active carbon of Tc from acid solution
,Sorption study of strontium onto hydrated cement phases using a sequential desorption method2000,int00,http://dx.doi.org/10.1524/ract.2000.88.8.483,2000,Radiochimica Acta,88,483-486,"Iwaida, T. , Nagasaki, S. and Tanaka, S.",Sorption study of strontium onto hydrated cement phases using a sequential desorption method
,Synthesis and characterization of sulfate-iodate ettringite; and their potential role in immobilization of I-1292001,iytn01,not found,2001,Genshiryoku-Backend-Kenkyu,7,57-63,"Iwaida, T. , Yano, K. , Tanaka, S. and Nagasaki, S.",Synthesis and characterization of sulfate-iodate ettringite; and their potential role in immobilization of I-129
,Low level radioactive wasteland desposal safety proof examination1989,jaer89,not found,1989, Engineering barrier safety proof examination report,NA,NA,JAERI,Low level radioactive wasteland desposal safety proof examination
,Radioactive waste safty proof examination at 1990 year1990,jaer90,not found,1990,Low level radioactive vitrified waste long life saturated examination result report,NA,NA,JAERI,Radioactive waste safty proof examination at 1990 year
,Radioactive waste safty proof examination at 1992 year ????????????????????????1993,jaer93a,not found,1993,NA,NA,NA,JAERI,Radioactive waste safty proof examination at 1992 year ????????????????????????
,Radioactive waste safty proof examination at 1992 year1993,jaer93b,not found,1993,Low level radioactive vitrified waste long life saturated examination result report,NA,NA,JAERI,Radioactive waste safty proof examination at 1992 year
,Natural barrier safety proof examination at 1995 year (Phase II) report1995,jaer95,not found,1995,NA,NA,NA,JAERI,Natural barrier safety proof examination at 1995 year (Phase II) report
,Diffusion and sorption on hardened cement pastes - experiments and modelling results1999,jss99,not found,1999,PSI Bericht,NA,193p.,"Jakob, A. , Sarott, F.-A. and Spieler, P.",Diffusion and sorption on hardened cement pastes - experiments and modelling results
,"Attenuation of Pu, Am, Cs, and Sr mobility in concrete1987",jgkr87,http://dx.doi.org/10.1557/PROC-84-355,1987,Materials Research Society Symposium Proceedings,84,355-368,"Jakubick, A. T. , Gillham, R. W. , Kahl, I. and Robin, M.","Attenuation of Pu, Am, Cs, and Sr mobility in concrete"
,Additivity of the distribution ratio of Cs and Se on bentonite/quartz sand mixture in seawater2006,jtjh06,http://dx.doi.org/10.1007/s10967-006-0031-y,2006,Journal of Radioanalytical and Nuclear Chemistry ,267,225-231,"Jan, Y.-L. , Tsai, S.-C. , Jan, J.-C. and Hsu, C.-N.",Additivity of the distribution ratio of Cs and Se on bentonite/quartz sand mixture in seawater
